file ,QC,QS , ret 
SEQ00001_L00010_R00002_LEN000000001000.nexus,0.852380952380952,0.742738589211618,2
SEQ00001_L00010_R00002_LEN000000010000.nexus,0.885714285714286,0.794871794871795,2
SEQ00001_L00010_R00002_LEN000000100000.nexus,0.852380952380952,0.742738589211618,2
SEQ00001_L00010_R00002_LEN000001000000.nexus,0.852380952380952,0.742738589211618,2
SEQ00002_L00010_R00000_LEN000000001000.nexus,1,1,0
SEQ00002_L00010_R00000_LEN000000010000.nexus,1,1,0
SEQ00002_L00010_R00000_LEN000000100000.nexus,1,1,0
SEQ00002_L00010_R00000_LEN000001000000.nexus,1,1,0
SEQ00003_L00010_R00001_LEN000000001000.nexus,0.885714285714286,0.794871794871795,1
SEQ00003_L00010_R00001_LEN000000010000.nexus,0.885714285714286,0.794871794871795,1
SEQ00003_L00010_R00001_LEN000000100000.nexus,0.885714285714286,0.794871794871795,1
SEQ00003_L00010_R00001_LEN000001000000.nexus,0.885714285714286,0.794871794871795,1
SEQ00004_L00010_R00002_LEN000000001000.nexus,0.828571428571429,0.707317073170732,1
SEQ00004_L00010_R00002_LEN000000010000.nexus,0.795238095238095,0.660079051383399,3
SEQ00004_L00010_R00002_LEN000000100000.nexus,0.828571428571429,0.707317073170732,2
SEQ00004_L00010_R00002_LEN000001000000.nexus,0.828571428571429,0.707317073170732,2
SEQ00005_L00010_R00002_LEN000000001000.nexus,0.89047619047619,0.802575107296137,2
SEQ00005_L00010_R00002_LEN000000010000.nexus,0.89047619047619,0.802575107296137,2
SEQ00005_L00010_R00002_LEN000000100000.nexus,0.89047619047619,0.802575107296137,2
SEQ00005_L00010_R00002_LEN000001000000.nexus,0.89047619047619,0.802575107296137,2
SEQ00006_L00010_R00003_LEN000000001000.nexus,0.771428571428572,0.627906976744186,3
SEQ00006_L00010_R00003_LEN000000010000.nexus,0.804761904761905,0.673306772908367,3
SEQ00006_L00010_R00003_LEN000000100000.nexus,0.804761904761905,0.673306772908367,4
SEQ00006_L00010_R00003_LEN000001000000.nexus,0.804761904761905,0.673306772908367,3
SEQ00007_L00010_R00003_LEN000000001000.nexus,0.728571428571429,0.573033707865169,1
SEQ00007_L00010_R00003_LEN000000010000.nexus,0.747619047619048,0.596958174904943,1
SEQ00007_L00010_R00003_LEN000000100000.nexus,0.966666666666667,0.935483870967742,3
SEQ00007_L00010_R00003_LEN000001000000.nexus,0.966666666666667,0.935483870967742,3
SEQ00008_L00010_R00003_LEN000000001000.nexus,0.871428571428571,0.772151898734177,2
SEQ00008_L00010_R00003_LEN000000010000.nexus,0.871428571428571,0.772151898734177,2
SEQ00008_L00010_R00003_LEN000000100000.nexus,0.871428571428571,0.772151898734177,3
SEQ00008_L00010_R00003_LEN000001000000.nexus,0.871428571428571,0.772151898734177,2
SEQ00009_L00010_R00000_LEN000000001000.nexus,0.928571428571429,0.866666666666667,1
SEQ00009_L00010_R00000_LEN000000010000.nexus,1,1,0
SEQ00009_L00010_R00000_LEN000000100000.nexus,1,1,0
SEQ00009_L00010_R00000_LEN000001000000.nexus,1,1,0
SEQ00010_L00010_R00001_LEN000000001000.nexus,0.928571428571429,0.866666666666667,1
SEQ00010_L00010_R00001_LEN000000010000.nexus,0.895238095238095,0.810344827586207,1
SEQ00010_L00010_R00001_LEN000000100000.nexus,0.895238095238095,0.810344827586207,1
SEQ00010_L00010_R00001_LEN000001000000.nexus,0.895238095238095,0.810344827586207,1
SEQ00011_L00010_R00003_LEN000000001000.nexus,0.828571428571429,0.707317073170732,3
SEQ00011_L00010_R00003_LEN000000010000.nexus,0.828571428571429,0.707317073170732,3
SEQ00011_L00010_R00003_LEN000000100000.nexus,0.828571428571429,0.707317073170732,3
SEQ00011_L00010_R00003_LEN000001000000.nexus,0.828571428571429,0.707317073170732,3
SEQ00012_L00010_R00000_LEN000000001000.nexus,1,1,0
SEQ00012_L00010_R00000_LEN000000010000.nexus,1,1,0
SEQ00012_L00010_R00000_LEN000000100000.nexus,1,1,0
SEQ00012_L00010_R00000_LEN000001000000.nexus,1,1,0
SEQ00013_L00010_R00003_LEN000000001000.nexus,0.819047619047619,0.693548387096774,2
SEQ00013_L00010_R00003_LEN000000010000.nexus,0.885714285714286,0.794871794871795,3
